Day,Hour 1 (Define & Write),Hour 2-3 (Build & Experiment),Hour 4 (Post / Positioning),,
Day 1,RAG basics & failure modes,Build base pipeline skeleton,Intro GenAI positioning,,
Day 2,Token limits & KV cache,Implement TokenBudgetService,Token governance post,,
Day 3,Why top_k fails,Real embedder + retriever,Top_k misconception post,,
,,,,,
Day 4,Why evaluation fails without ground truth,Add similarity scores + expose retrieval scoring,Evaluation pitfalls post,,
Day 5,Precision vs recall tradeoff,Add reranking layer (basic),Reranking improves precision post,,
Day 6,Token governance strategies,Enhance TokenBudgetService modes,Token constraints as architecture post,,
Day 7,LLM serving fundamentals,Refactor ModelRegistry abstraction,LLM serving vs API call post,,
,,,,,
Day 8,Prompting limitations in production,Upgrade PromptBuilder (config-driven),Prompt engineering myth post,,
Day 9,Chunking strategies & tradeoffs,Implement chunking variants (small vs large),Chunking impact post,,
Day 10,Embedding quality vs dimensions,Swap embedding models + compare results,Embedding myths post,,
,,,,,
Day 11,Vector DB fundamentals,Integrate FAISS or local index,Vector DB basics post,,
Day 12,Latency vs cost tradeoff,Add latency measurement & logging,Latency tradeoff post,,
Day 13,Observability in RAG systems,Add logging for retrieval scores & pipeline steps,Observability importance post,,
Day 14,Failure mode taxonomy,Tag failure types in pipeline output,RAG failure modes post,,
,,,,,
Day 15,Evaluation metrics deep dive,Improve Metrics (embedding-based scoring),Metrics limitations post,,
Day 16,LLM-as-judge evaluation,Add simple LLM judge stub,LLM evaluation post,,
Day 17,Ground truth & benchmarking,Add mock evaluation dataset,Benchmarking importance post,,
Day 18,Experiment tracking systems,Add experiment logger (runs comparison),Experiment tracking post,,
,,,,,
Day 19,Multi-hop reasoning limitations,Add query expansion (multi-query),Multi-hop retrieval post,,
Day 20,Knowledge graph role in RAG,Add KG-based retrieval stub,KG for RAG post,,
Day 21,Hybrid retrieval strategies,Combine keyword + vector retrieval,Hybrid search post,,
,,,,,
Day 22,Cost governance in production,Add cost guardrails (limits),Cost-aware systems post,,
Day 23,Throughput & scaling basics,Add batching / parallel calls stub,Scaling challenges post,,
Day 24,Caching strategies in RAG,Add response/prefix caching,Caching benefits post,,
,,,,,
Day 25,Security & compliance needs,Add audit logging,AI governance post,,
Day 26,RBAC & persona control,Extend permission system,RBAC in GenAI post,,
Day 27,API design for GenAI systems,Improve FastAPI endpoints,API design post,,
,,,,,
Day 28,System integration architecture,Create architecture diagram,End-to-end system post,,
Day 29,Tradeoff synthesis & decisions,Compare approaches (k, rerank, chunk),Decision framework post
Day 30,Final positioning & showcase,Polish repo + README + examples,Final portfolio post,,
